"uid","onShift","matchNumber","teamNumber","autonLeave","autonCoralL1","autonCoralL2","autonCoralL3","autonCoralL4","autonAlgaeProcessor","autonAlgaeNet","autonAlgaeRemoved","teleopCoralL1","teleopCoralL2","teleopCoralL3","teleopCoralL4","teleopAlgaeProcessor","teleopAlgaeNet","teleopAlgaeRemoved","climbState","didRobotDisable","additionalNotes"
24,"","24","8397",1,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,"almost3climbed"
25,"","25","5675",1,0,0,0,2,0,0,0,1,2,1,3,1,0,1,1,0,"Imighthavemissedafewcorals"
26,"","26","6094",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,"itlookedliketheycouldhave3climbedbutitdidn'tworkcorectly"
27,"","27","74",1,1,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,"let'sgochaos"
28,"","28","5248",1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,""
29,"","29","6128",1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,"Iwaswatchingwrongrobotatstart,probablymissedsomething"
30,"","30","2767",1,0,0,0,3,0,0,0,0,5,4,4,2,0,2,3,0,""
31,"","31","6548",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,"theywerealittlebroken"
32,"","32","5927",1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,"atstartwaslookingatwrongone"
33,"","33","5236",1,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,""
34,"","34","904",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"diddefense,notverygoodatdefense"
35,"","35","7911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
36,"","36","6002",1,0,0,0,0,0,0,0,0,0,4,8,2,0,2,3,0,""
37,"","37","7210",1,1,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,""
38,"","38","4003",1,0,0,0,0,0,0,0,0,0,1,4,3,0,3,1,0,""
39,"","39","2054",1,0,0,0,4,0,0,0,0,0,4,2,4,1,3,1,0,""
40,"","40","9542",1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,""
41,"","41","9721",1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,"lotsofmissedcycles"
42,"","42","141",1,0,0,0,1,0,0,0,3,0,0,7,0,0,0,3,0,""
43,"","43","6094",1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,""
44,"","44","9549",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,""
45,"","45","5084",1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,""
46,"","56","6128",1,0,0,0,0,0,0,1,0,1,2,2,0,0,1,1,0,""
47,"","47","2767",1,0,0,0,3,0,0,0,0,0,4,9,0,3,3,3,0,""
48,"","48","2054",1,0,0,0,2,0,0,0,0,0,1,6,2,0,2,3,0,""
49,"","49","5084",1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,""
50,"","50","9206",1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,""
51,"","51","7248",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,""
52,"","52","4003",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,"playedgooddefense"
53,"","53","107",1,1,0,0,0,0,0,0,1,4,2,0,0,0,2,1,0,""
54,"","54","5712",0,0,0,0,2,0,0,0,3,1,2,2,0,0,0,1,0,""
55,"","54","6094",1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,""
56,"","56","9638",1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,""
57,"","57","9248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"playedgooddefense"
58,"","58","9721",1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,""
59,"","59","5256",1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,""
60,"","60","141",1,0,0,0,1,0,0,0,0,1,3,4,0,0,1,3,0,""
61,"","61","85",1,0,0,0,1,0,0,0,0,0,1,5,1,0,2,0,0,""
62,"","62","74",1,1,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,""
63,"","63","7203",1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,""
64,"","64","7248",1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,""
65,"","65","9742",1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,""
66,"","65","3546",1,0,0,0,1,0,0,0,1,0,2,5,0,2,0,0,0,""
67,"","67","9721",1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,""
68,"","68","3458",1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,""
69,"","69","5675",1,0,0,0,1,0,0,0,0,0,0,10,0,0,3,3,0,""
70,"","70","7911",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,""
